№;COBID;ящик;Состояние COBID;Столбец2;Столбец3;Столбец4;;;;;;;
241;1080;ОРН5-6.3;Свободен;;;;;;;;;;
242;1079;ОРН5-6.4;Свободен;;;;;;;;;;
243;1078;ОРН5-6.4;Свободен;;;;;;;;;;
244;1077;ОРН5-6.4;Свободен;;;;;;;;;;
245;1076;ОРН5-6.4;Свободен;;;;;;;;;;
246;1075;ОРН5-6.4;Свободен;;;;;;;;;;
247;1074;ОРН5-6.4;Свободен;;;;;;;;;;
248;1073;ОРН5-6.4;Свободен;;;;;;;;;;
249;1072;ОРН5-6.4;Свободен;;;;;;;;;;
250;1071;ОРН5-6.4;Свободен;;;;;;;;;;
251;1070;ОРН5-6.4;Свободен;;;;;;;;;;
252;1069;ОРН5-6.4;Свободен;;;;;;;;;;
253;1068;ОРН5-6.4;Свободен;;;;;;;;;;
254;1067;ОРН5-6.4;Свободен;;;;;;;;;;
255;1066;ОРН5-6.4;Свободен;;;;;;;;;;
256;1065;ОРН5-6.4;Свободен;;;;;;;;;;
257;1064;ОРН5-6.4;Свободен;;;;;;;;;;
258;1063;ОРН5-6.4;Свободен;;;;;;;;;;
259;1062;ОРН5-6.4;Свободен;;;;;;;;;;
260;1061;ОРН5-6.4;Свободен;;;;;;;;;;
261;1060;ОРН5-6.4;Свободен;;;;;;;;;;
262;1059;ОРН5-7.1;Свободен;;;;;;;;;;
263;1058;ОРН5-7.1;Свободен;;;;;;;;;;
264;1057;ОРН5-7.1;Свободен;;;;;;;;;;
265;1056;ОРН5-7.1;Свободен;;;;;;;;;;
266;1055;ОРН5-7.1;Свободен;;;;;;;;;;
267;1054;ОРН5-7.1;Свободен;;;;;;;;;;
268;1053;ОРН5-7.1;Свободен;;;;;;;;;;
269;1052;ОРН5-7.1;Свободен;;;;;;;;;;
270;1051;ОРН5-7.1;Свободен;;;;;;;;;;
271;1050;ОРН5-7.1;Свободен;;;;;;;;;;
272;1049;ОРН5-7.1;Свободен;;;;;;;;;;
273;1048;ОРН5-7.1;Свободен;;;;;;;;;;
274;1047;ОРН5-7.1;Свободен;;;;;;;;;;
275;1046;ОРН5-7.1;Свободен;;;;;;;;;;
276;1045;ОРН5-7.1;Свободен;;;;;;;;;;
277;1044;ОРН5-7.1;Свободен;;;;;;;;;;
278;1043;ОРН5-7.1;Свободен;;;;;;;;;;
279;1042;ОРН5-7.1;Свободен;;;;;;;;;;
280;1041;ОРН5-7.1;Свободен;;;;;;;;;;
281;1040;ОРН5-7.1;Свободен;;;;;;;;;;
282;1039;ОРН5-7.2;Свободен;;;;;;;;;;
