;BI23_3SS1_DK8_T;Сработка 3СС1-ДК8 температура в Столовой 70 гр.Ц.
;BI23_3SS1_DK8_dT;Сработка 3СС1-ДК8 изменение температуры в Столовой 10 гр.Ц. в мин.
;BI23_3SS1_DK8_f;Сработка 3СС1-ДК8 дым в Столовой 15%
;BI23_3SS1_DT33_T1;Сработка 3СС1-ДТ33 температура в Столовой 30 гр.Ц.
;BI23_3SS1_DT33_T2;Сработка 3СС1-ДТ33 температура в Столовой 70 гр.Ц.
;BI23_3SS1_DT33_dT;Сработка 3СС1-ДТ33 изменение температуры в Столовой 10 гр.Ц. в мин.
;BI23_3SS1_DT34_T1;Сработка 3СС1-ДТ34 температура в Столовой 30 гр.Ц.
;BI23_3SS1_DT34_T2;Сработка 3СС1-ДТ34 температура в Столовой 70 гр.Ц.
;BI23_3SS1_DT34_dT;Сработка 3СС1-ДТ34 изменение температуры в Столовой 10 гр.Ц. в мин.
;BI23_3SS1_R8;Сработка 3СС1-Р8 в Столовой
;BI23_3SS1_DF18_f;Сработка 3СС1-ДФ18 дым в Коридоре №2 15%
;BI23_3SS1_DF19_f;Сработка 3СС1-ДФ19 дым в Коридоре №2 15%
;BI23_3SS1_R7;Сработка 3СС1-Р7 в Коридоре №2
;BI23_3SS1_DK12_V;Сработка 3СС1-ДК12 объем в Коридоре №2 20 мг. куб.
;BI23_3SS1_DK12_T;Сработка 3СС1-ДК12 температура в Коридоре №2 70 гр.Ц.
;BI23_3SS1_DK12_dT;Сработка 3СС1-ДК12 изменение температуры в Коридоре №2 10 гр.Ц. в мин.
;BI23_3SS1_DK12_f;Сработка 3СС1-ДК12 дым в Коридоре №2 15%
;BI23_3SS1_DK13_V;Сработка 3СС1-ДК13 объем в Тамбуре №2 20 мг. куб.
;BI23_3SS1_DK13_T;Сработка 3СС1-ДК13 температура в Тамбуре №2 70 гр.Ц.
;BI23_3SS1_DK13_dT;Сработка 3СС1-ДК13 изменение температуры в Тамбуре №2 10 гр.Ц. в мин.
;BI23_3SS1_DK13_f;Сработка 3СС1-ДК13 дым в Тамбуре №2 15%
;BI23_3SS1_DF6_f;Сработка 3СС1-ДФ6 дым в Тамбуре №2 15%
;BI23_3SS1_R2;Сработка 3СС1-Р2 в Тамбуре №2
;BI23_3SS1_DT13_f1;Сработка 3СС1-ДТ13 влажность в Помещении щитов №1 98%
;BI23_3SS1_DT13_f2;Сработка 3СС1-ДТ13 влажность в Помещении щитов №1 80%
;BI23_3SS1_DT13_T1;Сработка 3СС1-ДТ13 температура в Помещении щитов №1 30 гр.Ц.
;BI23_3SS1_DT13_T2;Сработка 3СС1-ДТ13 температура в Помещении щитов №1 70 гр.Ц.
;BI23_3SS1_DK7_T;Сработка 3СС1-ДК7 температура в Помещении щитов №1 70 гр.Ц.
;BI23_3SS1_DK7_dT;Сработка 3СС1-ДК7 изменение температуры в Помещении щитов №1 10 гр.Ц. в мин.
;BI23_3SS1_DK7_f;Сработка 3СС1-ДК7 дым в Помещении щитов №1 15%
;BI23_3SS1_DK5_T;Сработка 3СС1-ДК5 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DK5_dT;Сработка 3СС1-ДК5 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DK5_f;Сработка 3СС1-ДК5 дым в Кубрике №2 15%
;BI23_3SS1_DK6_T;Сработка 3СС1-ДК6 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DK6_dT;Сработка 3СС1-ДК6 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DK6_f;Сработка 3СС1-ДК6 дым в Кубрике №2 15%
;BI23_3SS1_DK15_T;Сработка 3СС1-ДК15 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DK15_dT;Сработка 3СС1-ДК15 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DK15_f;Сработка 3СС1-ДК15 дым в Кубрике №2 15%
;BI23_3SS1_DT20_T1;Сработка 3СС1-ДТ20 температура в Кубрике №2 30 гр.Ц.
;BI23_3SS1_DT20_T2;Сработка 3СС1-ДТ20 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DT20_dT;Сработка 3СС1-ДТ20 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DT21_T1;Сработка 3СС1-ДТ21 температура в Кубрике №2 30 гр.Ц.
;BI23_3SS1_DT21_T2;Сработка 3СС1-ДТ21 температура в Кубрике №2 70 гр.Ц.
