№ п/п;Имя параметра;Описание параметра;Система;CAN_ID;Смещение;Длина;UNO1;№ порта UNO1;UNO3;№ порта UNO3;Протокол;Тип ;StandID;BitCount
903;FI20_SPS_116;Пожарная опасность в СПС;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;707;32;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
904;FI20_TAMBUR_18_117;Пожарная опасность в Тамбуре №18;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;708;0;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
905;FI20_TAMBUR_19_118;Пожарная опасность в Тамбуре №19;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;708;32;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
906;FI20_KLAD_SIGN_SR_2_119;Пожарная опасность в Клад. сигн. средств №2;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;709;0;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
907;FI20_POM_SBORA_TV_OTHOD_120;Пожарная опасность в Пом. сбора тв. отходов;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;709;32;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
908;FI20_SHAHTA_GAZOH_3_121;Пожарная опасность в Шахте газоходов №3;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;710;0;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
909;FI20_POGREB_MIN_TRAL_BZ_122;Пожарная опасность в Погребе мин-трал. б/з;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;710;32;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
910;FI20_POM_STRELKORUZ_123;Пожарная опасность в Пом. стрелк. оружия;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;711;0;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
911;FI20_POM_BZ_STR_DP64_124;Пожарная опасность в Пом. б/з стр. ор. ДП-64;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;711;32;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
912;FI20_PODBASH_OTD_125;Пожарная опасность в Подбашенном отд.;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;712;0;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
913;FI20_POM_BZ_AK306_126;Пожарная опасность в Пом. б/з АК-306;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;712;32;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
914;FI20_POM_IZD_9K38_127;Пожарная опасность в Помещении изд. 9К38;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;713;0;32;ДА;3;ДА;0;Пожарная автоматика;ПО;;
915;FI20_SS1_119;Информация о неисправности на линии связи СС1-119;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;713;32;32;ДА;3;НЕТ;НЕТ;Пожарная автоматика;Н;;
916;FI20_SS1_122;Информация о неисправности на линии связи СС1-122;2020. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф;714;0;32;НЕТ;НЕТ;ДА;0;Пожарная автоматика;Н;;
917;FI82_12SS1_218;Информация о неисправности на линии связи 12СС1-218;"2082. Комплекс технических средств охранно-пожарной автоматики ""ГАММА-01Ф"". Помещения ХБЗО";714;32;32;ДА;0;НЕТ;НЕТ;Пожарная автоматика;Н;;
918;FI82_12SS1_8;Информация о неисправности на линии связи 12СС1-8;"2082. Комплекс технических средств охранно-пожарной автоматики ""ГАММА-01Ф"". Помещения ХБЗО";715;0;32;НЕТ;НЕТ;ДА;3;Пожарная автоматика;Н;;
919;FI82_12SS1_38;Информация о неисправности на линии связи 12СС1-38;"2082. Комплекс технических средств охранно-пожарной автоматики ""ГАММА-01Ф"". Помещения ХБЗО";715;32;32;НЕТ;НЕТ;ДА;1;Пожарная автоматика;Н;;
920;FI82_12SS1_67;Информация о неисправности на линии связи 12СС1-67;"2082. Комплекс технических средств охранно-пожарной автоматики ""ГАММА-01Ф"". Помещения ХБЗО";716;0;32;НЕТ;НЕТ;ДА;3;Пожарная автоматика;Н;;
920;FI82_12SS1_93;Информация о неисправности на линии связи 12СС1-93;"2082. Комплекс технических средств охранно-пожарной автоматики ""ГАММА-01Ф"". Помещения ХБЗО";716;32;32;НЕТ;НЕТ;ДА;4;Пожарная автоматика;Н;;
921;FI82_12SS1_123;Информация о неисправности на линии связи 12СС1-123;"2082. Комплекс технических средств охранно-пожарной автоматики ""ГАММА-01Ф"". Помещения ХБЗО";717;0;32;НЕТ;НЕТ;ДА;7;Пожарная автоматика;Н;;
920;FI82_12SS1_150;Информация о неисправности на линии связи 12СС1-150;"2082. Комплекс технических средств охранно-пожарной автоматики ""ГАММА-01Ф"". Помещения ХБЗО";717;32;32;НЕТ;НЕТ;ДА;5;Пожарная автоматика;Н;;
921;BI26_6SS1_DT18_f1;Сработка 4СС1-ДТ16 влажность в  Пом. ГРЩ №1 98%;2026. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 6;514;42;1;ДА;3;ДА;0;Пожарная автоматика;В98;;
922;BI26_6SS1_DT18_f2;Сработка 4СС1-ДТ16 влажность в  Пом. ГРЩ №1 80%;2026. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 6;514;43;1;ДА;3;ДА;0;Пожарная автоматика;В80;;
923;BI26_6SS1_DT18_T1;Сработка 4СС1-ДТ16 температура в  Пом. ГРЩ №1 30 гр.Ц.;2026. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 6;514;44;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
924;BI26_6SS1_DT18_T2;Сработка 4СС1-ДТ16 температура в  Пом. ГРЩ №1 70 гр.Ц.;2026. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 6;514;45;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
925;BI83_SS4_VD1;Задраивание крышки в тамбур №10. Машинное отделение;2083. Комплекс задраенного состояния дверей и крышек люков;514;24;1;ДА;2;НЕТ;НЕТ;СКМ;;;
926;BI83_SS4_VD2;Задраивание крышки в тамбур №11. Машинное отделение;2083. Комплекс задраенного состояния дверей и крышек люков;514;25;1;ДА;2;НЕТ;НЕТ;СКМ;;;
927;BI83_SS4_VD3;Задраивание крышки в тамбур №13. ОВМ;2083. Комплекс задраенного состояния дверей и крышек люков;514;26;1;ДА;2;НЕТ;НЕТ;СКМ;;;
928;BI83_SS4_VD4;Задраивание крышки в тамбур №13. ОВМ;2083. Комплекс задраенного состояния дверей и крышек люков;514;27;1;ДА;2;НЕТ;НЕТ;СКМ;;;
929;BI83_SS4_VD5;Задраивание крышки в тамбур №14. ДГО;2083. Комплекс задраенного состояния дверей и крышек люков;514;28;1;ДА;2;НЕТ;НЕТ;СКМ;;;
930;BI83_SS4_VD6;Задраивание крышки в тамбур №16. Помещение ГРЩ №2;2083. Комплекс задраенного состояния дверей и крышек люков;514;29;1;ДА;2;НЕТ;НЕТ;СКМ;;;
931;BI83_SS4_VD7;Задраивание двери в коридор №3. Коридор №3;2083. Комплекс задраенного состояния дверей и крышек люков;514;30;1;ДА;2;НЕТ;НЕТ;СКМ;;;
932;BI83_SS4_VD8;Задраивание крышки в камбузе. Камзуб;2083. Комплекс задраенного состояния дверей и крышек люков;514;31;1;ДА;2;НЕТ;НЕТ;СКМ;;;
933;BI83_SS4_VD9;Задраивание двери. Помещение ГРЩ №1;2083. Комплекс задраенного состояния дверей и крышек люков;514;32;1;ДА;2;НЕТ;НЕТ;СКМ;;;
934;BI83_SS4_VD10;Задраивание двери. КПЕЖ;2083. Комплекс задраенного состояния дверей и крышек люков;514;33;1;ДА;2;НЕТ;НЕТ;СКМ;;;
935;BI83_SS4_VD11;Задраивание двери в душевую команды. Прачечная (ПСО);2083. Комплекс задраенного состояния дверей и крышек люков;514;34;1;ДА;2;НЕТ;НЕТ;СКМ;;;
936;BI83_SS4_VD12;Задраивание двери коридор №5 (Пост аварийной партии);2083. Комплекс задраенного состояния дверей и крышек люков;514;35;1;ДА;2;НЕТ;НЕТ;СКМ;;;
937;BI83_SS4_VD13;Задраивание крышки в помещение ГКП-ХКП. Коридор №7;2083. Комплекс задраенного состояния дверей и крышек люков;514;36;1;ДА;2;НЕТ;НЕТ;СКМ;;;
938;BI83_SS4_VD14;Задраивание двери. Коридор №7;2083. Комплекс задраенного состояния дверей и крышек люков;514;37;1;ДА;2;НЕТ;НЕТ;СКМ;;;
939;BI83_SS4_VD15;Задраивание крышки на переборке. СПС;2083. Комплекс задраенного состояния дверей и крышек люков;514;38;1;ДА;2;НЕТ;НЕТ;СКМ;;;
940;BI83_SS4_VDV1;Задраивание двери. Погреб минно-трального б/з;2083. Комплекс задраенного состояния дверей и крышек люков;514;39;1;ДА;2;НЕТ;НЕТ;СКМ;;;
941;BI83_SS4_VDV2;Задраивание двери. Помещение стрелкового оружия;2083. Комплекс задраенного состояния дверей и крышек люков;514;40;1;ДА;2;НЕТ;НЕТ;СКМ;;;
942;BI83_SS4_VDV3;Задраивание двери. Пом. б/з ручного стрелкового оружия и ДП-64;2083. Комплекс задраенного состояния дверей и крышек люков;514;41;1;ДА;2;НЕТ;НЕТ;СКМ;;;
943;BI39_SS2_TK19_1;Камера Коридор №2. Сработка детектора огня;2039. Система корабельного мониторинга;614;42;1;ДА;2;НЕТ;НЕТ;СКМ;;;
944;BI39_SS2_TK19_2;Камера Коридор №2. Сработка детектора движения;2039. Система корабельного мониторинга;614;43;1;ДА;2;НЕТ;НЕТ;СКМ;;;
945;BI39_SS2_TK19_3;Камера Коридор №2. Сработка детектора дыма;2039. Система корабельного мониторинга;614;44;1;ДА;2;НЕТ;НЕТ;СКМ;;;
946;BI39_SS2_TK19_4;Камера Коридор №2. Сработка детектора задымления;2039. Система корабельного мониторинга;614;45;1;ДА;2;НЕТ;НЕТ;СКМ;;;
947;BI39_SS2_TK19_5;Камера Коридор №2. Сработка детектора смещения;2039. Система корабельного мониторинга;614;46;1;ДА;2;НЕТ;НЕТ;СКМ;;;
948;BI39_SS2_TK19_6;Камера Коридор №2. Сработка детектора перегрева;2039. Система корабельного мониторинга;614;47;1;ДА;2;НЕТ;НЕТ;СКМ;;;
949;BI39_SS2_TK1_1;Камера Помещение механизмов ПУ. Сработка детектора огня;2039. Система корабельного мониторинга;614;48;1;ДА;2;НЕТ;НЕТ;СКМ;;;
950;BI39_SS2_TK1_2;Камера Помещение механизмов ПУ. Сработка детектора движения;2039. Система корабельного мониторинга;614;49;1;ДА;2;НЕТ;НЕТ;СКМ;;;
951;BI39_SS2_TK1_3;Камера Помещение механизмов ПУ. Сработка детектора дыма;2039. Система корабельного мониторинга;614;50;1;ДА;2;НЕТ;НЕТ;СКМ;;;
952;BI39_SS2_TK1_4;Камера Помещение механизмов ПУ. Сработка детектора задымления;2039. Система корабельного мониторинга;614;51;1;ДА;2;НЕТ;НЕТ;СКМ;;;
953;BI39_SS2_TK1_5;Камера Помещение механизмов ПУ. Сработка детектора смещения;2039. Система корабельного мониторинга;614;52;1;ДА;2;НЕТ;НЕТ;СКМ;;;
954;BI39_SS2_TK1_6;Камера Помещение механизмов ПУ. Сработка детектора перегрева;2039. Система корабельного мониторинга;614;53;1;ДА;2;НЕТ;НЕТ;СКМ;;;
955;BI39_SS2_TK2_1;Камера Помещение механизмов ПУ. Сработка детектора огня;2039. Система корабельного мониторинга;614;54;1;ДА;2;НЕТ;НЕТ;СКМ;;;
956;BI39_SS2_TK2_2;Камера Помещение механизмов ПУ. Сработка детектора движения;2039. Система корабельного мониторинга;614;55;1;ДА;2;НЕТ;НЕТ;СКМ;;;
957;BI39_SS2_TK2_3;Камера Помещение механизмов ПУ. Сработка детектора дыма;2039. Система корабельного мониторинга;614;56;1;ДА;2;НЕТ;НЕТ;СКМ;;;
958;BI39_SS2_TK2_4;Камера Помещение механизмов ПУ. Сработка детектора задымления;2039. Система корабельного мониторинга;614;57;1;ДА;2;НЕТ;НЕТ;СКМ;;;
959;BI39_SS2_TK2_5;Камера Помещение механизмов ПУ. Сработка детектора смещения;2039. Система корабельного мониторинга;614;58;1;ДА;2;НЕТ;НЕТ;СКМ;;;
960;BI39_SS2_TK2_6;Камера Помещение механизмов ПУ. Сработка детектора перегрева;2039. Система корабельного мониторинга;614;59;1;ДА;2;НЕТ;НЕТ;СКМ;;;
961;BI39_SS2_TK3_1;Камера Машинное отделение. Сработка детектора огня;2039. Система корабельного мониторинга;614;60;1;ДА;2;НЕТ;НЕТ;СКМ;;;
962;BI39_SS2_TK3_2;Камера Машинное отделение. Сработка детектора движения;2039. Система корабельного мониторинга;614;61;1;ДА;2;НЕТ;НЕТ;СКМ;;;
963;BI39_SS2_TK3_3;Камера Машинное отделение. Сработка детектора дыма;2039. Система корабельного мониторинга;614;62;1;ДА;2;НЕТ;НЕТ;СКМ;;;
964;BI39_SS2_TK3_4;Камера Машинное отделение. Сработка детектора задымления;2039. Система корабельного мониторинга;614;63;1;ДА;2;НЕТ;НЕТ;СКМ;;;
965;BI39_SS2_TK3_5;Камера Машинное отделение. Сработка детектора смещения;2039. Система корабельного мониторинга;615;0;1;ДА;2;НЕТ;НЕТ;СКМ;;;
966;BI39_SS2_TK3_6;Камера Машинное отделение. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;1;1;ДА;2;НЕТ;НЕТ;СКМ;;;
967;BI39_SS2_TK4_1;Камера Машинное отделение. Сработка детектора огня;2039. Система корабельного мониторинга;615;2;1;ДА;2;НЕТ;НЕТ;СКМ;;;
968;BI39_SS2_TK4_2;Камера Машинное отделение. Сработка детектора движения;2039. Система корабельного мониторинга;615;3;1;ДА;2;НЕТ;НЕТ;СКМ;;;
969;BI39_SS2_TK4_3;Камера Машинное отделение. Сработка детектора дыма;2039. Система корабельного мониторинга;615;4;1;ДА;2;НЕТ;НЕТ;СКМ;;;
970;BI39_SS2_TK4_4;Камера Машинное отделение. Сработка детектора задымления;2039. Система корабельного мониторинга;615;5;1;ДА;2;НЕТ;НЕТ;СКМ;;;
971;BI39_SS2_TK4_5;Камера Машинное отделение. Сработка детектора смещения;2039. Система корабельного мониторинга;615;6;1;ДА;2;НЕТ;НЕТ;СКМ;;;
972;BI39_SS2_TK4_6;Камера Машинное отделение. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;7;1;ДА;2;НЕТ;НЕТ;СКМ;;;
973;BI39_SS2_TK5_1;Камера Машинное отделение. Сработка детектора огня;2039. Система корабельного мониторинга;615;8;1;ДА;2;НЕТ;НЕТ;СКМ;;;
974;BI39_SS2_TK5_2;Камера Машинное отделение. Сработка детектора движения;2039. Система корабельного мониторинга;615;9;1;ДА;2;НЕТ;НЕТ;СКМ;;;
975;BI39_SS2_TK5_3;Камера Машинное отделение. Сработка детектора дыма;2039. Система корабельного мониторинга;615;10;1;ДА;2;НЕТ;НЕТ;СКМ;;;
976;BI39_SS2_TK5_4;Камера Машинное отделение. Сработка детектора задымления;2039. Система корабельного мониторинга;615;11;1;ДА;2;НЕТ;НЕТ;СКМ;;;
977;BI39_SS2_TK5_5;Камера Машинное отделение. Сработка детектора смещения;2039. Система корабельного мониторинга;615;12;1;ДА;2;НЕТ;НЕТ;СКМ;;;
978;BI39_SS2_TK5_6;Камера Машинное отделение. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;13;1;ДА;2;НЕТ;НЕТ;СКМ;;;
979;BI39_SS2_TK6_1;Камера Машинное отделение. Сработка детектора огня;2039. Система корабельного мониторинга;615;14;1;ДА;2;НЕТ;НЕТ;СКМ;;;
980;BI39_SS2_TK6_2;Камера Машинное отделение. Сработка детектора движения;2039. Система корабельного мониторинга;615;15;1;ДА;2;НЕТ;НЕТ;СКМ;;;
981;BI39_SS2_TK6_3;Камера Машинное отделение. Сработка детектора дыма;2039. Система корабельного мониторинга;615;16;1;ДА;2;НЕТ;НЕТ;СКМ;;;
982;BI39_SS2_TK6_4;Камера Машинное отделение. Сработка детектора задымления;2039. Система корабельного мониторинга;615;17;1;ДА;2;НЕТ;НЕТ;СКМ;;;
983;BI39_SS2_TK6_5;Камера Машинное отделение. Сработка детектора смещения;2039. Система корабельного мониторинга;615;18;1;ДА;2;НЕТ;НЕТ;СКМ;;;
984;BI39_SS2_TK6_6;Камера Машинное отделение. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;19;1;ДА;2;НЕТ;НЕТ;СКМ;;;
985;BI39_SS2_TK9_1;Камера ДГО. Сработка детектора огня;2039. Система корабельного мониторинга;615;20;1;ДА;2;НЕТ;НЕТ;СКМ;;;
986;BI39_SS2_TK9_2;Камера ДГО. Сработка детектора движения;2039. Система корабельного мониторинга;615;21;1;ДА;2;НЕТ;НЕТ;СКМ;;;
987;BI39_SS2_TK9_3;Камера ДГО. Сработка детектора дыма;2039. Система корабельного мониторинга;615;22;1;ДА;2;НЕТ;НЕТ;СКМ;;;
988;BI39_SS2_TK9_4;Камера ДГО. Сработка детектора задымления;2039. Система корабельного мониторинга;615;23;1;ДА;2;НЕТ;НЕТ;СКМ;;;
989;BI39_SS2_TK9_5;Камера ДГО. Сработка детектора смещения;2039. Система корабельного мониторинга;615;24;1;ДА;2;НЕТ;НЕТ;СКМ;;;
990;BI39_SS2_TK9_6;Камера ДГО. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;25;1;ДА;2;НЕТ;НЕТ;СКМ;;;
991;BI39_SS2_TK10_1;Камера ДГО. Сработка детектора огня;2039. Система корабельного мониторинга;615;26;1;ДА;2;НЕТ;НЕТ;СКМ;;;
992;BI39_SS2_TK10_2;Камера ДГО. Сработка детектора движения;2039. Система корабельного мониторинга;615;27;1;ДА;2;НЕТ;НЕТ;СКМ;;;
993;BI39_SS2_TK10_3;Камера ДГО. Сработка детектора дыма;2039. Система корабельного мониторинга;615;28;1;ДА;2;НЕТ;НЕТ;СКМ;;;
994;BI39_SS2_TK10_4;Камера ДГО. Сработка детектора задымления;2039. Система корабельного мониторинга;615;29;1;ДА;2;НЕТ;НЕТ;СКМ;;;
995;BI39_SS2_TK10_5;Камера ДГО. Сработка детектора смещения;2039. Система корабельного мониторинга;615;30;1;ДА;2;НЕТ;НЕТ;СКМ;;;
996;BI39_SS2_TK10_6;Камера ДГО. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;31;1;ДА;2;НЕТ;НЕТ;СКМ;;;
997;BI39_SS2_TK11_1;Камера ДГО. Сработка детектора огня;2039. Система корабельного мониторинга;615;32;1;ДА;2;НЕТ;НЕТ;СКМ;;;
998;BI39_SS2_TK11_2;Камера ДГО. Сработка детектора движения;2039. Система корабельного мониторинга;615;33;1;ДА;2;НЕТ;НЕТ;СКМ;;;
999;BI39_SS2_TK11_3;Камера ДГО. Сработка детектора дыма;2039. Система корабельного мониторинга;615;34;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1000;BI39_SS2_TK11_4;Камера ДГО. Сработка детектора задымления;2039. Система корабельного мониторинга;615;35;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1001;BI39_SS2_TK11_5;Камера ДГО. Сработка детектора смещения;2039. Система корабельного мониторинга;615;36;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1002;BI39_SS2_TK11_6;Камера ДГО. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;37;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1003;BI39_SS2_TK12_1;Камера ДГО. Сработка детектора огня;2039. Система корабельного мониторинга;615;38;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1004;BI39_SS2_TK12_2;Камера ДГО. Сработка детектора движения;2039. Система корабельного мониторинга;615;39;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1005;BI39_SS2_TK12_3;Камера ДГО. Сработка детектора дыма;2039. Система корабельного мониторинга;615;40;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1006;BI39_SS2_TK12_4;Камера ДГО. Сработка детектора задымления;2039. Система корабельного мониторинга;615;41;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1007;BI39_SS2_TK12_5;Камера ДГО. Сработка детектора смещения;2039. Система корабельного мониторинга;615;42;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1008;BI39_SS2_TK12_6;Камера ДГО. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;43;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1009;BI39_SS2_TK15_1;Камера Помещение гидроагрегатов. Сработка детектора огня;2039. Система корабельного мониторинга;615;44;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1010;BI39_SS2_TK15_2;Камера Помещение гидроагрегатов. Сработка детектора движения;2039. Система корабельного мониторинга;615;45;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1011;BI39_SS2_TK15_3;Камера Помещение гидроагрегатов. Сработка детектора дыма;2039. Система корабельного мониторинга;615;46;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1012;BI39_SS2_TK15_4;Камера Помещение гидроагрегатов. Сработка детектора задымления;2039. Система корабельного мониторинга;615;47;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1013;BI39_SS2_TK15_5;Камера Помещение гидроагрегатов. Сработка детектора смещения;2039. Система корабельного мониторинга;615;48;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1014;BI39_SS2_TK15_6;Камера Помещение гидроагрегатов. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;49;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1015;BI39_SS2_TK13_1;Камера Помещение ГРЩ2. Сработка детектора огня;2039. Система корабельного мониторинга;615;50;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1016;BI39_SS2_TK13_2;Камера Помещение ГРЩ2. Сработка детектора движения;2039. Система корабельного мониторинга;615;51;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1017;BI39_SS2_TK13_3;Камера Помещение ГРЩ2. Сработка детектора дыма;2039. Система корабельного мониторинга;615;52;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1018;BI39_SS2_TK13_4;Камера Помещение ГРЩ2. Сработка детектора задымления;2039. Система корабельного мониторинга;615;53;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1019;BI39_SS2_TK13_5;Камера Помещение ГРЩ2. Сработка детектора смещения;2039. Система корабельного мониторинга;615;54;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1020;BI39_SS2_TK13_6;Камера Помещение ГРЩ2. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;55;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1021;BI39_SS2_TK14_1;Камера Помещение ГРЩ2. Сработка детектора огня;2039. Система корабельного мониторинга;615;56;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1022;BI39_SS2_TK14_2;Камера Помещение ГРЩ2. Сработка детектора движения;2039. Система корабельного мониторинга;615;57;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1023;BI39_SS2_TK14_3;Камера Помещение ГРЩ2. Сработка детектора дыма;2039. Система корабельного мониторинга;615;58;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1024;BI39_SS2_TK14_4;Камера Помещение ГРЩ2. Сработка детектора задымления;2039. Система корабельного мониторинга;615;59;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1025;BI39_SS2_TK14_5;Камера Помещение ГРЩ2. Сработка детектора смещения;2039. Система корабельного мониторинга;615;60;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1026;BI39_SS2_TK14_6;Камера Помещение ГРЩ2. Сработка детектора перегрева;2039. Система корабельного мониторинга;615;61;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1027;BI39_SS2_TK17_1;Камера Румпельное отделение. Сработка детектора огня;2039. Система корабельного мониторинга;615;62;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1028;BI39_SS2_TK17_2;Камера Румпельное отделение. Сработка детектора движения;2039. Система корабельного мониторинга;615;63;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1029;BI39_SS2_TK17_3;Камера Румпельное отделение. Сработка детектора дыма;2039. Система корабельного мониторинга;616;0;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1030;BI39_SS2_TK17_4;Камера Румпельное отделение. Сработка детектора задымления;2039. Система корабельного мониторинга;616;1;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1031;BI39_SS2_TK17_5;Камера Румпельное отделение. Сработка детектора смещения;2039. Система корабельного мониторинга;616;2;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1032;BI39_SS2_TK17_6;Камера Румпельное отделение. Сработка детектора перегрева;2039. Система корабельного мониторинга;616;3;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1033;BI39_SS2_TK18_1;Камера Румпельное отделение. Сработка детектора огня;2039. Система корабельного мониторинга;616;4;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1034;BI39_SS2_TK18_2;Камера Румпельное отделение. Сработка детектора движения;2039. Система корабельного мониторинга;616;5;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1035;BI39_SS2_TK18_3;Камера Румпельное отделение. Сработка детектора дыма;2039. Система корабельного мониторинга;616;6;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1036;BI39_SS2_TK18_4;Камера Румпельное отделение. Сработка детектора задымления;2039. Система корабельного мониторинга;616;7;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1037;BI39_SS2_TK18_5;Камера Румпельное отделение. Сработка детектора смещения;2039. Система корабельного мониторинга;616;8;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1038;BI39_SS2_TK18_6;Камера Румпельное отделение. Сработка детектора перегрева;2039. Система корабельного мониторинга;616;9;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1039;BI39_SS2_TK16_1;Камера Погреб МТБЗ. Сработка детектора огня;2039. Система корабельного мониторинга;616;10;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1040;BI39_SS2_TK16_2;Камера Погреб МТБЗ. Сработка детектора движения;2039. Система корабельного мониторинга;616;11;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1041;BI39_SS2_TK16_3;Камера Погреб МТБЗ. Сработка детектора дыма;2039. Система корабельного мониторинга;616;12;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1042;BI39_SS2_TK16_4;Камера Погреб МТБЗ. Сработка детектора задымления;2039. Система корабельного мониторинга;616;13;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1043;BI39_SS2_TK16_5;Камера Погреб МТБЗ. Сработка детектора смещения;2039. Система корабельного мониторинга;616;14;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1044;BI39_SS2_TK16_6;Камера Погреб МТБЗ. Сработка детектора перегрева;2039. Система корабельного мониторинга;616;15;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1045;BI39_SS2_TK24_1;Камера Коридор №5. Сработка детектора огня;2039. Система корабельного мониторинга;616;16;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1046;BI39_SS2_TK24_2;Камера Коридор №5. Сработка детектора движения;2039. Система корабельного мониторинга;616;17;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1047;BI39_SS2_TK24_3;Камера Коридор №5. Сработка детектора дыма;2039. Система корабельного мониторинга;616;18;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1048;BI39_SS2_TK24_4;Камера Коридор №5. Сработка детектора задымления;2039. Система корабельного мониторинга;616;19;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1049;BI39_SS2_TK24_5;Камера Коридор №5. Сработка детектора смещения;2039. Система корабельного мониторинга;616;20;1;ДА;2;НЕТ;НЕТ;СКМ;;;
1050;BI39_SS2_TK24_6;Камера Коридор №5. Сработка детектора перегрева;2039. Система корабельного мониторинга;616;21;1;ДА;2;НЕТ;НЕТ;СКМ;;;
